"Step","env: TAXI - ep_info/Objective","env: TAXI - ep_info/Objective__MIN","env: TAXI - ep_info/Objective__MAX"
"1","0","0","0"
"2","0","0","0"
"3","0.2","0","1"
"4","0","0","0"
"5","0","0","0"
"6","0","0","0"
"7","0.2","0","1"
"8","0","0","0"
"9","0","0","0"
"10","0","0","0"
"11","0.2","0","1"
"12","0","0","0"
"13","0","0","0"
"14","0.2","0","1"
"15","0.4","0","1"
"16","0","0","0"
"17","0.2","0","1"
"18","0","0","0"
"19","0","0","0"
"20","0.2","0","1"
"21","0","0","0"
"22","0","0","0"
"23","0","0","0"
"24","0.4","0","1"
"25","0","0","0"
"26","0","0","0"
"27","0.4","0","1"
"28","0","0","0"
"29","0","0","0"
"30","0","0","0"
"31","0","0","0"
"32","0","0","0"
"33","0","0","0"
"34","0","0","0"
"35","0","0","0"
"36","0","0","0"
"37","0","0","0"
"38","0","0","0"
"39","0","0","0"
"40","0.2","0","1"
"41","0","0","0"
"42","0","0","0"
"43","0","0","0"
"44","0.2","0","1"
"45","0.2","0","1"
"46","0","0","0"
"47","0","0","0"
"48","0.2","0","1"
"49","0","0","0"
"50","0.2","0","1"
"51","0","0","0"
"52","0.2","0","1"
"53","0.2","0","1"
"54","0.4","0","1"
"55","0","0","0"
"56","0.2","0","1"
"57","0","0","0"
"58","0","0","0"
"59","0.2","0","1"
"60","0.2","0","1"
"61","0.2","0","1"
"62","0.2","0","1"
"63","0","0","0"
"64","0.2","0","1"
"65","0","0","0"
"66","0","0","0"
"67","0","0","0"
"68","0.2","0","1"
"69","0","0","0"
"70","0.2","0","1"
"71","0","0","0"
"72","0.2","0","1"
"73","0.2","0","1"
"74","0.2","0","1"
"75","0.2","0","1"
"76","0","0","0"
"77","0","0","0"
"78","0.4","0","1"
"79","0","0","0"
"80","0","0","0"
"81","0.4","0","1"
"82","0","0","0"
"83","0","0","0"
"84","0.4","0","1"
"85","0.4","0","1"
"86","0","0","0"
"87","0.2","0","1"
"88","0","0","0"
"89","0.2","0","1"
"90","0.4","0","1"
"91","0.2","0","1"
"92","0","0","0"
"93","0.2","0","1"
